interval,trigger_observed,predictor_pressure_change,predictor_flow_change_kg_s,shadow_correction_evaluated,proposed_authority,reason,rollback_required,corrected_candidate_committed,untargeted_branch_disagreement,branch_overrides,previous_phase_holds,hysteresis_releases,shadow_iterations,shadow_converged,shadow_line_search_exhausted,shadow_pressure_residual,shadow_flow_residual_kg_s,shadow_mass_closure_kg_s,shadow_energy_ownership_w
12,False,0.0042570891289547491,1.3587395016428871,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
13,False,0.0042619382119106651,1.3382424087379832,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
14,False,0.0042303411052462036,1.2629702386413015,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
15,False,0.004214709060938922,1.2514497034437397,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
16,False,0.0041928109476217631,1.2234194935360989,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
17,False,0.0041736047911377899,1.2151778263615967,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
18,False,0.0041535701499089391,1.2003653452820373,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
19,False,0.0041340245430652291,1.1889679119259995,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
20,False,0.0041144870778776262,1.176835074101902,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
21,False,0.0040951246992992725,1.1653824305370932,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
22,False,0.0040758798487778945,1.1541176748243061,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
23,False,0.0040567705365677689,1.1431810172969961,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
24,False,0.0040377900949508504,1.132511712806803,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
25,False,0.0040189396747509184,1.12211218496833,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
26,False,0.0040002178527887636,1.1119667438148326,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
27,False,0.0039816244259666895,1.1020664660007782,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
28,False,0.0039631582242068124,1.0924003629803138,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
29,False,0.0039448185871853413,1.0829594405795149,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
30,False,0.0039266049338590849,1.0737349120260262,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
31,False,0.0039085158270882794,1.0647175488012977,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
32,False,0.0038905508818162129,1.0559002295270261,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
33,False,0.0038727089104836124,1.0472747480640408,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
34,False,0.0038549895891518372,1.0388347674725082,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
35,False,0.0038373913283294239,1.030572408601472,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
36,False,0.0038199136359641124,1.0224820644698411,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
37,False,0.0038025554967031994,1.0145572531091318,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
38,False,0.0037853157568440887,1.0067919651146156,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
39,False,0.0037681938066462073,0.99918111772760199,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
40,False,0.0037511886128672538,0.99171916423790663,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
41,False,0.0037342992092569663,0.98440110569268313,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
42,False,0.0037175244387416457,0.97722191910878564,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
43,False,0.0037008638656642456,0.97017769376424212,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
44,False,0.0036843161448475671,0.96326338545259205,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
45,False,0.0036678805805927341,0.95647528934549086,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
46,False,0.0036515557369700808,0.9498087676870739,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
47,False,0.0036353414346805696,0.94326106552358624,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
48,False,0.0036192360813517952,0.93682748470183697,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
49,False,0.0036032392477666382,0.93050537942400524,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
50,False,0.0035873494459770657,0.92429058582254697,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
51,False,0.0035715662681588393,0.91818070419199671,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
52,False,0.0035558886232767246,0.91217226251188777,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
53,False,0.0035403155377836349,0.90626232919532868,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
54,False,0.003524846069472174,0.90044807021331508,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
55,False,0.0035094792953274533,0.89472677270489953,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
56,False,0.0034942144782155854,0.88909601254351855,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
57,False,0.0034790506189305336,0.88355310828521283,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
58,False,0.0034639867856490324,0.87809564926129724,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
59,False,0.0034490222416485731,0.87272149337593419,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
60,False,0.0034341560029841644,0.86742824205282432,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
61,False,0.0034193871548833443,0.86221374182701993,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
62,False,0.0034047149746737923,0.85707609818902597,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
63,False,0.003390138501017674,0.85201315450950688,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
64,False,0.0033756568403199164,0.84702298483628624,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
65,False,0.0033612692866476527,0.84210390255111633,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
66,False,0.0033469749037975394,0.83725396704809896,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
67,False,0.0033327728199949455,0.83247144601338618,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
68,False,0.0033186623470495141,0.8277548363833489,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
69,False,0.0033046427290736018,0.82310254492114154,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
70,False,0.0032907130335169429,0.81851286438532611,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
71,False,0.0032768724026509843,0.81398428071156559,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
72,False,0.0032631200136892654,0.80951533974788958,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
73,False,0.0032494553643604963,0.80510495058362608,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
74,False,0.0032358773619855152,0.80075132844237373,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
75,False,0.0032223855350839497,0.79645357655189741,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
76,False,0.0032089788152940982,0.79221001508963695,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
77,False,0.0031956565976435881,0.78801966795541034,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
78,False,0.0031824181987101497,0.78388137454857088,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
79,False,0.0031692627666338367,0.77979383836662919,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
80,False,0.0031561895155505929,0.77575592570224217,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
81,False,0.0031431979731088746,0.77176683854980865,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
82,False,0.0031302871200656161,0.76782513520339535,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
83,False,0.003117456520412132,0.76393017313131395,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
84,False,0.0031047053209915278,0.76008073274959997,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
85,False,0.0030920326192518683,0.75627568249313981,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
86,False,0.0030794381632031844,0.75251462192906615,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
87,False,0.0030669210762791603,0.74879631384342815,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
88,False,0.0030544804606502281,0.74511969630003705,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
89,False,0.0030421160624773103,0.74148442876284548,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
90,False,0.0030298267640079734,0.73788909129794433,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
91,False,0.0030176123402949795,0.73433345368871983,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
92,False,0.003005471961825192,0.7308164297704991,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
93,False,0.0029934047722194311,0.72733707999265107,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
94,False,0.0029814105362788719,0.72389515257117409,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
95,False,0.0029694883146114165,0.72048949798457329,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
96,False,0.0029576375853629022,0.71711959670761871,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
97,False,0.0029458577784992456,0.71378480139355815,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
98,False,0.0029341483082972694,0.71048445674935579,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
99,False,0.0029225084604868382,0.70721779328491152,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
100,False,0.0029109377030449653,0.70398428419349557,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
101,False,0.002899435476731414,0.70078333830275596,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
102,False,0.0028880009709746804,0.69761411618429747,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
103,False,0.0028766339710852504,0.69447647917468203,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
104,False,0.0028653337322529851,0.69136958701702156,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
105,False,0.0028540996020951538,0.68829283480920367,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
106,False,0.0028429310905260527,0.6852457910019325,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
107,False,0.0028318276778430173,0.68222795467417541,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
108,False,0.0028207888342266616,0.67923882092790677,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
109,False,0.0028098139107308713,0.67627777621819973,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
110,False,0.0027989024292336215,0.67334442505747916,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
111,False,0.0027880540011939675,0.67043842971318668,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
112,False,0.0027772678366218277,0.66755901382487082,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
113,False,0.002766543501564021,0.66470588172825273,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
114,False,0.002755880634648991,0.66187874327948748,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
115,False,0.0027452785866989467,0.65907697641551977,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
116,False,0.0027347368909289064,0.65630023023220474,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
117,False,0.0027242550660369368,0.65354810910628203,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
118,False,0.0027138325188328077,0.65082010585740591,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
119,False,0.0027034688141900146,0.64811591174012051,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
120,False,0.0026931634969927926,0.64543516472161855,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
121,False,0.0026829162114019776,0.64277760607461687,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
122,False,0.0026727262314495755,0.64014257404278396,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
123,False,0.0026625932683389053,0.63752996066830292,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
124,False,0.002652516849797561,0.63493937123212163,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
125,False,0.0026424964075594105,0.63237034643032075,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
126,False,0.0026325315319108652,0.62982262869832084,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
127,False,0.002622621795895778,0.62729590957295045,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
128,False,0.0026127667670955272,0.6247898740357698,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
129,False,0.0026029660129241808,0.62230421274816194,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
130,False,0.0025932191014545066,0.6198386191062184,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
131,False,0.0025835256031963697,0.61739279535524361,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
132,False,0.0025738849919719571,0.61496634457719779,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
133,False,0.0025642968894009389,0.6125590542177406,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
134,False,0.0025547609993323696,0.61017076255782854,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
135,False,0.0025452767802491352,0.60780102971489214,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
136,False,0.002535843849338631,0.60544963899715754,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
137,False,0.0025264619130436175,0.60311644079536109,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
138,False,0.0025171303417039167,0.60080091300565641,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
139,False,0.0025078489959982982,0.59850312019537455,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
140,False,0.0024986173386329839,0.5962226116163265,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
141,False,0.0024894349010038813,0.59395908741365133,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
142,False,0.0024803014408464677,0.59171248377427332,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
143,False,0.0024712165633472309,0.58948252278261748,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
144,False,0.0024621798840751118,0.58726896397320161,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
145,False,0.0024531910259550645,0.58507157926271702,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
146,False,0.0024442495239586702,0.58289005271083738,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
147,False,0.0024353551413197061,0.58072432757342085,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
148,False,0.0024265075896101398,0.57857424021469228,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
149,False,0.002417706187888669,0.57643922691352145,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
150,False,0.0024089508504968713,0.57431943656499129,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
151,False,0.0024002412874840617,0.57221468611891169,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
152,False,0.0023915768296845353,0.57012441954245219,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
153,False,0.0023829574835427521,0.56804887809289539,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
154,False,0.0023743827525551054,0.56598764777018573,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
155,False,0.0023658522115648016,0.56394047151661653,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
156,False,0.0023573656504426712,0.5619073243228172,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
157,False,0.0023489227217298831,0.55988798881529078,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
158,False,0.002340523088708437,0.55788227741183505,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
159,False,0.0023321664225429313,0.55589001444997166,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
160,False,0.0023238523979019093,0.55391103073026215,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
161,False,0.0023155806951672109,0.55194515869538918,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
162,False,0.0023073510831254397,0.54999232444262702,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
163,False,0.002299163044367788,0.54805213501623484,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
164,False,0.002291016487755918,0.54612470320284956,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
165,False,0.0022829110656294289,0.54420979199144881,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
166,False,0.0022748463685628917,0.54230713704305344,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
167,False,0.0022668221166511279,0.54041663685418939,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
168,False,0.0022588381063284439,0.5385382453272598,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
169,False,0.0022508940167949814,0.53667176849418752,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
170,False,0.0022429895415839052,0.53481704896807969,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
171,False,0.0022351243012349196,0.53297385822702381,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
172,False,0.0022272981997350956,0.53114227894357668,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
173,False,0.002219510823649008,0.5293220035554782,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
174,False,0.0022117619772149709,0.52751300648060351,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
175,False,0.0022040512722570184,0.52571502938727122,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
176,False,0.0021963785272150768,0.52392806447875273,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
177,False,0.0021887433669354702,0.52215186440906791,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
178,False,0.0021811456177022888,0.52038642528779633,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
179,False,0.0021735849913648224,0.51863158840490087,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
180,False,0.0021660612894121942,0.51688730074732803,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
181,False,0.0021585741338107892,0.51515330957764149,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
182,False,0.00215112327288044,0.5134295299247924,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
183,False,0.0021437085306135104,0.51171593911459468,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
184,False,0.0021363296245500373,0.51001237854038095,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
185,False,0.0021289862855935191,0.50831872194751782,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
186,False,0.0021216782546030172,0.50663485508093231,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
187,False,0.0021144053530719248,0.50496074812005531,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
188,False,0.0021071672266438062,0.50329616751983508,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
189,False,0.0020999637175203672,0.5016411189919836,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
190,False,0.0020927945603822786,0.49999546315623888,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
191,False,0.0020856595028374519,0.49835908657047412,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
192,False,0.0020785583737917214,0.49673196304973999,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
193,False,0.0020714908315972525,0.49511386906723942,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
194,False,0.0020644567256136452,0.49350481451318728,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
195,False,0.0020574558019634047,0.49190466964307689,False,ExplicitCommittedState,NotTriggered,False,False,False,0,0,0,0,True,False,0,0,0,0
